Domain,Host,Process,AgentName,Resource,MetricName,Record_Type,Period,Intended_End_Timestamp,Actual_Start_Timestamp,Actual_End_Timestamp,Count,Type,Value,Min,Max,String_Value
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:00:00.0,2013-06-26 15:00:00.0,2013-06-26 15:24:00.0,95,1026,118429,57667,313629,118429
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:00:00.0,2013-06-26 15:00:00.0,2013-06-26 15:24:00.0,95,1026,927592,923206,1090567,927592
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:00:00.0,2013-06-26 15:00:00.0,2013-06-26 15:24:00.0,85,1026,380491,116882,852087,380491
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:00:00.0,2013-06-26 15:00:00.0,2013-06-26 15:24:00.0,88,1026,91197,0,352049,91197
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:00:00.0,2013-06-26 15:00:00.0,2013-06-26 15:24:00.0,95,1026,1510882,1423237,1763505,1510882
SuperDomain,hcbiwp12,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp12_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:24:00.0,2013-06-26 15:24:00.0,2013-06-26 15:48:00.0,94,1026,267854,128159,539771,267854
SuperDomain,hcbiwp00,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp00_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:24:00.0,2013-06-26 15:24:00.0,2013-06-26 15:48:00.0,90,1026,924981,923206,942690,924981
SuperDomain,hcbiwp10,SAP HostAgent Process,SAP HostAgent SMDA97,BCP|hcbiwp10_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:24:00.0,2013-06-26 15:24:00.0,2013-06-26 15:48:00.0,95,1026,277528,116882,767782,277528
SuperDomain,hcbiwp13,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp13_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:24:00.0,2013-06-26 15:24:00.0,2013-06-26 15:48:00.0,93,1026,273186,0,810772,273186
SuperDomain,hcbiwp11,SAP HostAgent Process,SAP HostAgent SMDA98,BCP|hcbiwp11_BCP_00|Memory|Heap Memory,Current used(KB),?,1440,2013-06-26 15:24:00.0,2013-06-26 15:24:00.0,2013-06-26 15:48:00.0,93,1026,1813181,1423237,2543328,1813181
